item	corpus	variety	time	file	category	genre	relativizer	which	that	zero	preceding_rel	dist_to_preceding_rel	nested	RC_function	ant_length	ant_given	ant_definite	ant_frequency	ant_head_to_RC	RC_length	levyJaeger	TTR	mean_word_length	mean_sentence_length	stranding	split_infinitive	as_if_though	passives	passive_active_ratio	shall_will	nouniness	noun_verb_ratio	personal_pron	subord_conj	animacy	ant_head	adjacency	ant_number	ant_POS	plain_text
2327	Frown	AmE	1991	Frown_G51	G	generalprose	ZERO	no	no	ZERO	ZERO	28	no	Obj	5	no	def	0.478927203	0	3	<GE>'s <NN1>block <PPIS1>I	0.439655172	4.268199234	21.5257732	0.004739336	0	0	43.10344828	0.076923077	0	2241.37931	1.457943925	991.3793103	234.6743295	inanimate	<NN1>block	adjacent	singular	noun	the first writer s block I had witnessed
2329	Frown	AmE	1991	Frown_G51	G	generalprose	ZERO	no	no	ZERO	THAT	72	no	Obj	1	no	indef	0.478927203	0	3	<$Z> <NN1>work <PPIS1>I	0.439655172	4.268199234	21.5257732	0.004739336	0	0	43.10344828	0.076923077	0	2241.37931	1.457943925	991.3793103	234.6743295	inanimate	<NN1>work	adjacent	singular	noun	work I had done
2322	Frown	AmE	1991	Frown_G51	G	generalprose	ZERO	no	no	ZERO	ZERO	92	no	Obj	2	no	def	0	2	7	<AT>the <RRT>closest <PPIS1>I	0.439655172	4.268199234	21.5257732	0.004739336	0	0	43.10344828	0.076923077	0	2241.37931	1.457943925	991.3793103	234.6743295	inanimate	<RRT>closest	adjacent	other	other	the closest I came to a conversion to Communism
2330	Frown	AmE	1991	Frown_G51	G	generalprose	ZERO	no	no	ZERO	THAT	9	yes	Obj	2	no	def	0	0	4	<AT>the <NN2>parties <PPIS2>we	0.439655172	4.268199234	21.5257732	0.004739336	0	0	43.10344828	0.076923077	0	2241.37931	1.457943925	991.3793103	234.6743295	inanimate	<NN2>parties	adjacent	other	other	the parties we were invited to
3364	Brown	AmE	1961	brown_K19	K	fiction	ZERO	no	no	ZERO	THAT	101	no	Obj	4	yes	def	3.350885591	2	7	<JJ>clear <NN1>victory <PPHS1>he	0.396840594	4.303494495	18.99090909	0	4.786979416	0	38.29583533	0.071428571	0	2417.424605	1.476608187	785.0646242	234.5619914	inanimate	<MC1>one	adjacent	singular	other	the one clear victory he had talked about to the colonel
3368	Brown	AmE	1961	brown_K19	K	fiction	ZERO	no	no	ZERO	WHICH	108	no	Obj	2	no	def	1.436093825	0	4	<AT>the <NN1>effect <PPHS1>he	0.396840594	4.303494495	18.99090909	0	4.786979416	0	38.29583533	0.071428571	0	2417.424605	1.476608187	785.0646242	234.5619914	inanimate	<NN1>effect	adjacent	singular	noun	the effect he wished to create
3370	Brown	AmE	1961	brown_K19	K	fiction	WHICH	WHICH	no	no	ZERO	575	no	Obj	2	yes	indef	1.436093825	0	4	<AT1>an <NN1>effect <PPHS1>he	0.396840594	4.303494495	18.99090909	0	4.786979416	0	38.29583533	0.071428571	0	2417.424605	1.476608187	785.0646242	234.5619914	inanimate	<NN1>effect	adjacent	singular	noun	an effect which he found pleasant
3362	Brown	AmE	1961	brown_K19	K	fiction	WHICH	WHICH	no	no	WHICH	7	no	Obj	2	no	indef	0.957395883	0	5	<MC1>one <NN1>truth <PPHS1>he	0.396840594	4.303494495	18.99090909	0	4.786979416	0	38.29583533	0.071428571	0	2417.424605	1.476608187	785.0646242	234.5619914	inanimate	<NN1>truth	adjacent	singular	noun	one truth which he could not deny
3361	Brown	AmE	1961	brown_K19	K	fiction	WHICH	WHICH	no	no	none	12	no	Obj	2	no	indef	0.478697942	0	5	<MC1>one <NN1>fact <NN1>Rector	0.396840594	4.303494495	18.99090909	0	4.786979416	0	38.29583533	0.071428571	0	2417.424605	1.476608187	785.0646242	234.5619914	inanimate	<NN1>fact	adjacent	singular	noun	one fact which Rector could not overlook
3369	Brown	AmE	1961	brown_K19	K	fiction	ZERO	no	no	ZERO	ZERO	47	no	Obj	2	no	def	0.478697942	0	2	<AT>the <NN2>things <NN1>Rector	0.396840594	4.303494495	18.99090909	0	4.786979416	0	38.29583533	0.071428571	0	2417.424605	1.476608187	785.0646242	234.5619914	inanimate	<NN2>things	adjacent	plural	noun	the things Rector requested
2077	Frown	AmE	1991	Frown_G25	G	generalprose	THAT	no	THAT	no	THAT	13	no	Obj	2	yes	indef	1.465559355	0	5	<AT1>a <NN1>history <PPHS2>they	0.448949682	5.060087934	24.96341463	0	0	0	136.7855398	0.325581395	NA	2804.103566	2.463519313	288.2266732	234.4894968	inanimate	<NN1>history	adjacent	singular	noun	a history that they want to believe
